2024.03.20 07:48:56 PM INFO | __name__ | 213 | play | Function firstRoll() being called from play()
2024.03.20 07:48:56 PM INFO | __name__ | 231 | firstRoll | Function firstRoll() called successfully
2024.03.20 07:49:36 PM INFO | __name__ | 252 | firstRoll | Function make_choice() being called from firstroll() - roll1
2024.03.20 07:49:45 PM INFO | __name__ | 289 | make_choice | Function make_choice() started
2024.03.20 07:49:50 PM INFO | __name__ | 294 | make_choice | Function make_choice() called successfully
2024.03.20 07:50:16 PM INFO | __name__ | 335 | make_choice | Roll1 Discards: 
2024.03.20 07:50:20 PM INFO | __name__ | 342 | make_choice | Function score() called successfully
2024.03.20 07:50:20 PM INFO | __name__ | 345 | make_choice | Function complete_reroll() called from make_choice()
2024.03.20 07:50:20 PM INFO | __name__ | 427 | complete_reroll | Function complete_reroll() called successfully
2024.03.20 07:50:20 PM INFO | __name__ | 456 | complete_reroll | Function lastRoll() being called from complete_reroll()
2024.03.20 07:50:20 PM INFO | __name__ | 273 | lastRoll | Function lastRoll() called successfully
2024.03.20 07:50:20 PM INFO | __name__ | 279 | lastRoll | Function score_test() being called from lastRoll()
2024.03.20 07:51:12 PM INFO | __name__ | 401 | make_choice | Roll2 Discards:
2024.03.22 08:04:31 PM INFO | __name__ | 208 | play | New game started.
2024.03.22 08:04:31 PM INFO | __name__ | 213 | play | Function firstRoll() being called from play()
2024.03.22 08:04:31 PM INFO | __name__ | 231 | firstRoll | Function firstRoll() called successfully
2024.03.22 08:04:49 PM INFO | __name__ | 252 | firstRoll | Function make_choice() being called from firstroll() - roll1
2024.03.22 08:04:55 PM INFO | __name__ | 289 | make_choice | Function make_choice() started
2024.03.22 08:05:00 PM INFO | __name__ | 294 | make_choice | Function make_choice() called successfully
2024.03.22 08:06:26 PM INFO | __name__ | 335 | make_choice | Roll1 Discards: 
2024.03.22 08:06:43 PM INFO | __name__ | 342 | make_choice | Function score() called successfully
2024.03.22 08:07:20 PM INFO | __name__ | 345 | make_choice | Function complete_reroll() called from make_choice()
2024.03.22 08:07:23 PM INFO | __name__ | 427 | complete_reroll | Function complete_reroll() called successfully
2024.03.22 08:07:32 PM INFO | __name__ | 456 | complete_reroll | Function lastRoll() being called from complete_reroll()
2024.03.22 08:07:35 PM INFO | __name__ | 273 | lastRoll | Function lastRoll() called successfully
2024.03.22 08:07:37 PM INFO | __name__ | 279 | lastRoll | Function score_test() being called from lastRoll()
2024.03.22 08:08:52 PM INFO | __name__ | 401 | make_choice | Roll2 Discards:
2024.03.22 08:31:46 PM INFO | bd_logger | 66 | battleDice_score | scoring_list: ['Full House', 'Three of a Kind', 'Chance']
2024.03.23 03:32:38 PM INFO | bd_logger | 209 | battleDice_score | scoring_list: ['Full House', 'Three of a Kind', 'Chance']
2024.03.23 03:32:38 PM INFO | bd_logger | 66 | play | New game started.
2024.03.23 03:32:38 PM INFO | bd_logger | 71 | play | Function firstRoll() being called from play()
2024.03.23 03:32:38 PM INFO | bd_logger | 89 | firstRoll | Function firstRoll() called successfully
2024.03.23 03:33:08 PM INFO | bd_logger | 209 | battleDice_score | scoring_list: ['Full House', 'Three of a Kind', 'Chance']
2024.03.23 03:33:08 PM INFO | bd_logger | 66 | play | New game started.
2024.03.23 03:33:08 PM INFO | bd_logger | 71 | play | Function firstRoll() being called from play()
2024.03.23 03:33:08 PM INFO | bd_logger | 89 | firstRoll | Function firstRoll() called successfully
2024.03.23 03:33:14 PM INFO | bd_logger | 111 | firstRoll | Function make_choice() being called from firstroll() - roll1
2024.03.23 03:33:25 PM INFO | bd_logger | 150 | make_choice | Function make_choice() started
2024.03.23 03:34:26 PM INFO | bd_logger | 209 | battleDice_score | scoring_list: ['Full House', 'Three of a Kind', 'Chance']
2024.03.23 03:34:26 PM INFO | bd_logger | 66 | play | New game started.
2024.03.23 03:34:26 PM INFO | bd_logger | 71 | play | Function firstRoll() being called from play()
